Incident Number,incident Title,Incident Classificatioin,Date of Incident,Time of Incident,Date of Report,Site,Area,Unit,Detail,Work Group,Description,Incident Type A,Incident Type B,Incident Type C,Incident Type D,Investigation leader - Name,Investigation leader - Position,Incident Classified by - Name,Incident Classified by - Position,Investigation Acceptor/Approver (Owner) - Name,Investigation Acceptor/Approver (Owner)- Position,Approval Date,Close out Approval - Name,Close out Approval - Position,Close out Date,What happened?  ,What was the outcome?,Incident Classification,What was the worst outcome that could reasonably be expected to have happened?,Health & Safety Incident - Classification,Health & Safety - Risk Score,Health & Safety  - Consequence,Health & Safety - Likelihood,Environment & Reputation - Incident Classification,Environment & Reputation - Risk Score,Environment & Reputation  - Consequence,Environment & Reputation - Likelihood,Financial Cost & Business - Incident Classification,Financial Cost & Business Interruption - Risk Score,Financial Cost & Business Interruption  - Consequence,Financial Cost & Business Interruption - Likelihood,How did the incident occur
CP-AF101CEEE5,,,2022-06-08,08:00,2022-06-09,WC,237,A,,Maintenance,LIFTING DEVICE,Loss Event,Health & Safety,,,SYN-fa5bb6,Operations Superintendent,SYN-e55edd,Marine Coordinator,SYN-8357b2,HSE Advisor,2022-06-14,SYN-44bf76,Production Foreman,2022-07-31,"The lead operator was instructed by the production foreman to proceed to WC-237-A and
offload wireline equipment. The lead operator stated that when Mr. Nichols stepped on
well A-6 hatch cover it gave way and Mr. Nichols and the hatch cover fell to the deck
below. The lead operator also stated that it was the first time they had ever been on
the platform. Although there was no JSA filled out, the lead operator mentioned that
safety issues related to the scope of the job were discussed.
The TODCO-152 departed the platform in August 2004 after working on three different
wells. While the rig was on location it conducted a sidetrack operation on well A-6.
Our investigation of the A-6 well access opening revealed that the structural beams
which support the access hatch cover were cut. Other large openings in the deck were
discovered while conducting our inspection of the facility. Our investigation also
revealed that A construction crew was on location approximately 10 days prior to the
date of the incident, running a new pipeline riser and flowline for a new incoming
well (WC-237#5).
The hatch cover was picked up from the deck below in order to find out the possible
position the hatch cover may have been in prior to the accident. The first way we
tried it, the opening was to large allowing the cover to fall straight through the
opening and when the hatch cover was turned it allowed approximately 1/4"" to 1/2"" of
the angle iron frame to set on the edge of the opening. With the beams being cut it
allowed the hatch cover to move freely inside the opening.",The incident resulted in an injury recorded without a severity code.,,,,,,,,,,,,,,,
CP-9F92249E10,,,2022-07-07,12:00,2022-07-10,MC,208,,,Production Operations,LIFTING,Loss Event,Business Interruption & Cost,Equipment Damage,,SYN-3120eb,Operations Superintendent,SYN-965706,Facility Engineer,SYN-c454ce,Operations Superintendent,2022-07-14,SYN-f2df38,Maintenance Supervisor,2022-08-22,"On 7 July 2022, at 1200 hours, a loss of communication to Mississippi Canyon (MC)
208 (Seafloor location) Subsea (SS) 001 OCS-G 32303 (Bottom hole location at SS 209),
occurred at the Murphy Exploration & Production Company's MC 254 A Delta House
platform. This resulted in a catastrophic failure of the satellite umbilical cobra
head termination on the MC 208/209 SS001 well side of the Niedermeyer satellite
umbilical. Although the failure resulted in the unintentional release of hydraulic
fluid, the amount was not above the EPA’s pollution reporting requirement. The loss of
communication initiated a fail-safe shutdown sequence that successfully shut in
associated wells.","Reported as a damaged or disabled safety system. Estimated property damage $5,750,000.",,,,,C,,,,,,,,D,,"Sequence of Events:
From 8 July 2023 to 9 July 2023, the MC 254 A (Delta House) facility
experienced a catastrophic failure of the satellite umbilical cobra head termination
on the MC 208/209 SS001 well side the Niedermeyer satellite umbilical. One High
Pressure (HP) and two Low Pressure (LP) hydraulic supply lines ruptured during the
event.
On 10 July 2022, a Remote Operated Vehicle (ROV) inspected the subsea system
verifying a catastrophic failure on the cobra head by observing a hydraulic fluid leak
coming from the cobra head on the MC 208/209 well's tree, with three broken hydraulic
supply lines HP2, LP1 and LP2. It was determined that the discharged amount of
hydraulic control fluid was under 1,000 gallons, which is below the EPA’s threshold
for reportable pollution of 1,356 gallons. Additionally, no sheen was observed on the
surface as a result of this incident.
On 13 July 2022, an independent vessel disconnected the satellite umbilical cobra
heads on both the MC 253 Umbilical Termination Head (UTH) and the MC 208/209 well's
tree. The umbilicals were then wet-parked on the seabed.
On 14 September 2022, an independent vessel recovered the satellite umbilical on a reel
and offloaded it in Alabama for further investigation and removal of the cobra heads.
Once the reel was offloaded and the cobra heads removed, cracked tubing was discovered.
BSEE Investigation:
On 14 August 2022, one Bureau of Safety and Environmental Enforcement (BSEE) New
Orleans District (NOD) Accident Investigator arrived on the MC 254 A (Delta House)
facility to conduct interviews and obtain trends and documents on MC 208/209 Well SS001
pertaining to the investigation.
On 15 September 2022, a team consisting of one BSEE NOD Accident Investigator and two
BSEE Regional Pipeline Section Engineers conducted a follow-up investigation in
Theodore Alabama. The BSEE team interviewed multiple personnel, took photographs, and
collected documents.
Conclusion:
BSEE agrees with the following conclusions from Murphy’s root cause analysis:
1. Heavy weight and center of gravity offset from the UTH assembly resulted in high
shear and bending moment on the Multi Quick Connect (MQC) plate beyond its reported
capacity. The main failure mode was the collapse of the bolts on the MQC bracket.
Sheared bolts were present on both ends of the umbilical. Also, numerous cracked welds
and missing interface blocks were discovered on the MC 208/209 well's tree end.
2. Temporary buoyancy modules that were used during original installation of the
satellite umbilical were left on the cobra heads to avoid high loads on the MQC plate.
Since the rigging used for temporary buoyancy modules was not meant for long term
subsea use, it failed on the MC 208/209 well's tree end which caused additional load
transferring on the MQC plate resulting in additional
208/209 well's tree end.
3. The Electrical Flying Lead (EFL) being grounded to
consumption of anodes on adjacent structures."
CP-28BCE26628,,Serious Incident,2022-07-20,19:30,2022-07-21,MI,703,A,,Production Operations,LIFTING DEVICE,Loss Event,Health & Safety,Injury Minor,,SYN-a1e16b,Maintenance Supervisor,SYN-ca0912,Maintenance Supervisor,SYN-c4a756,Facility Engineer,2022-07-31,SYN-abb919,Marine Coordinator,2022-09-13,"While attempting to remove D-ring on four part sling load from crane hook after load
was landed on deck, rigger on top of Marine Portable Transfer (MPT)tank was having
trouble getting the D-ring unhooked. Coiled Tubing Unit (CTU) Supervisor was
assisting by pushing up on slings. Rigger on top of MPT tank got the D-ring unhooked
and dropped the D-ring over the side of tank. The D-ring caught the right index
finger of the supervisor on deck between the side of tank and the D-ring. Supervisor
initially stated that he was wearing the company required high-visibility impact
gloves but later into the investigation changed testimony to say that he was not
wearing any gloves at the time of the incident.",The incident resulted in restricted work or job transfer for more than 3 days. Reported as a crane incident. The facility was evacuated.,Serious Incident,,Serious Incident,20,D,5,,,,,,,,,
CP-C7C9B9694D,,,2022-07-21,13:45,2022-07-23,GC,680,A (Constitution,[J,Production Operations,LIFTING DEVICE,Loss Event,Health & Safety,Injury TLI,,SYN-7741c0,Production Foreman,SYN-6284b7,HSE Advisor,SYN-0a448e,Operations Superintendent,2022-08-06,SYN-c55739,Production Foreman,2022-08-15,"On 22 July 2022, the Ensco 8500 semi-submersible rig under contract with Anadarko
Petroleum Corporation (Anadarko), was conducting drilling operations on Well SS001
located at the surface location of Keathley Canyon Block 875 when the primary slip
joint packer on the upper telescopic joint failed resulting in the discharge of
approximately 14.0 barrels of 12.8 pounds per gallon (ppg) Synthetic Based Mud (SBM)
into the Gulf of Mexico. The secondary packer was energized and sealed off the slip
joint preventing further SBM discharge. Anadarko reported no visible surface sheen
or recoverable quantity; therefore, no cleanup activities were initiated. Anadarko
notified the National Response Center (Incident Report #1031429) about the incident.
The upper telescopic joint packer was shipped to Drip-Quip for analysis to determine
the cause of the failure.
Based on the investigation findings and analysis of the telescopic joint, the
probable causes of the incident were attributed to the following: 1) failure of the
Upper Split Insert Wiper Seal (SIWS) and 2) debonding failure in the Upper Slip Joint
Packer.
The Upper SIWS was found to be granulated and it came apart when removed from the
Packer Housing. Moreover, the upper SIWS elastomer was worn through leaving it too
thin to absorb potential heat by friction during well operations.
When the Upper Packer was removed, it had a through wall breach near the lower end
ring. This was considered to possible debonding failure of the end ring to rubber.
The Upper Packer had two inner diameter breaches and one outer diameter crack that
were adjacent to the metal end ring major bond surface indicating a developing
debonding situation since this is the origin of control pressure failure.
The upper SIWS had excessive wear that allowed the Upper Packer, located on the
outside of the SIWS, to move further inward toward the Inner Barrel. In addition,
higher stresses than normal may have been applied SWIS resulting in the urethane
wiper moving away from the center end rings until it compressed against the outer
retaining rings and became stuck.","The incident resulted in a lost-time accident with more than 3 days lost. Estimated property damage $150,000.",,,,,,,,,,,,,C,,
CP-23ED7A0BF3,,Incident,2022-07-30,15:45,2022-08-01,VR,287,A,,Construction,LIFTING DEVICE,Loss Event,Environment & Reputation,Loss of Containment,,SYN-572dc7,Marine Coordinator,SYN-0900f6,Production Foreman,SYN-d652b4,HSE Advisor,2022-08-08,SYN-4d691a,Operations Superintendent,2022-08-29,"MMS Investigators found that the heater treater (NBK 1107) had been improperly
designed and installed. This unit was equipped with manually operated drains that
were used to drain water and sand from the bottom of the vessel. The drains had
individiual 2"" manual valves and were manifolded together. A single line from the
drain manifold was piped directly to the skimmer's overboard line and it bypassed all
upstream water treating equipment. This design / installation is not designed /
installed correctly to prevent pollution and was in violation of 30 CFR 250.300
(b)(3). Manual drains used to drain the bottom of pressure vessels should be piped
to water / sand treating equipment prior to discharge. Since the spill, the drains
from the heater treater were blind flanged. This will correct the design /
installation of the heater treater.",Reported as a pollution release.,Incident,,Incident,6,C,2,,,C,,,,,,
CP-1B64E6DB5E,,Serious Incident,2022-07-31,19:00,2022-08-03,ST,23,CC,,Production Operations,LIFTING,Loss Event,Business Interruption & Cost,Equipment Damage,Combustion,,,SYN-1b65bb,Maintenance Supervisor,,,,,,,"FFoorr PPuubblliicc RReelleeaassee
On July 31, 2022 at approximately 1745, a Fire occurred on Glycol Reboiler vent
line. Operators were adding glycol to the system following a platform shut down. The
incident occurred on Cantium LLC facility South Timbalier Block 23 CC OCS 00166.
At approximately 1730, the facility shut in due to a Level Safety Low (LSL) on the
Glycol Surge Tank (ABJ 102). While operators were pumping more Glycol into the Surge
Vessel a flame was noticed coming from the Pressure Safety Valve (PSV) vent line for
the Glycol Reboiler (BBC 201) when the valve relieved pressure. At that time pumping
operations stopped and calls were made to the field Forman and HSE. No Emergency Shut
Down (ESD) and muster were activated because the facility was already shut in and the
only 2 personnel on board were at the scene of the incident. At approximately 1900
hours, operators from GI 37 R arrived by boat. At 2000 hours, a plan was made to put
a water hose with potable water in the top of still column to put the fire out which
was successful.
In October of 2023, the still column of the Reboiler was sent in to a construction
yard for repair. The glycol outlet into the still column was corroded. Once
returned, Cantium construction crew reassembled the unit. Immediately after the gas
dehydration unit was placed back in service the still column clogged with sludge. The
clog appears to be due to the still column not being cleaned enough and when ceramic
saddles were replaced from being broke at the bottom of still column. Cantium crews
then proceeded to disassemble the still column and removed the 1” ceramic saddles that
make up the packing section of the still column. Cantium then reassembled the still
column and brought the unit back online.
BSEE was notified on August 1, 2022, of a fire a that occurred on the Glycol
Reboiler.","Reported as a fire and damage over $25,000. Estimated property damage $40,000.",Serious Incident,,Serious Incident,12,D,3,,,,,,,B,,
CP-215260714B,,Serious Incident,2022-08-02,16:40,2022-08-03,GB,161,,CAL-DIVE Q-4000,Drilling,LIFTING Man Rider & CTLF,Loss Event,Health & Safety,Injury TLI,,SYN-a4a799,Facility Engineer,SYN-3634e3,Maintenance Supervisor,SYN-447318,Operations Superintendent,2022-08-10,SYN-35310c,Facility Engineer,2022-09-19,"At 16:40 hours on 2 August 2022, a Helix Energy Solutions (Helix) Roughneck sustained
serious injuries to his left hand during well abandonment operations on the Helix
Q4000 semisubmersible vessel under contract to Freeport-McMoRan Oil & Gas LLC
(McMoRan) at the surface location in Garden Banks (GB) Block 161. The severity of the
injuries to Helix Roughneck’s left hand required evacuation for surgery.
Helix Q4000 personnel were tasked on 2 August 2022, to hoist and install a wireline
valve assembly using the coiled tubing lift frame (CTLF) that is attached to a
multipurpose tower (MPT). A permit to work, four job safety analyses (JSAs), and a
man riding checklist were prepared prior to work activities and reviewed by all
personnel involved in this task. Two Helix Roughnecks were hooked up to man riders
and then positioned on the CTLP in order to guide the wireline valve assembly as it
was being hoisted with the main wench. One of the Helix Roughnecks observed that the
wireline valve assembly began to shift as it was being hoisted and could potentially
contact the CTLF. Therefore, the Helix Roughneck used his left hand to grab the
static line above the sheave on the CTLF main wench in an attempt to reposition the
wireline valve assembly. His left hand then became trapped in between the main winch
sheave and the static line cable. He initiated a stop work request and directed the
CTLF operator to lower the main winch to free his left hand. The Helix roughneck was
lowered to the rig floor and escorted to the Rig Medic’s office for a medical
evaluation and first aid. It was observed that his left thumb was partially amputated
in addition to a severe laceration on the left ring finger. The Helix Roughneck was
evacuated from the Q4000 by helicopter and transported to University of Texas Medical
Branch at Galveston for medical attention.
BSEE investigators conducted an onsite incident investigation at the Q4000 on 15 March
2018. BSEE meet with McMoRan and Helix representative who informed BSEE that they
were in the initial stages of their investigation, so information was limited. BSEE
gathered all available pertinent documents, inspected the incident scene and
coordinated for the delivery of all remaining investigation-related documents from
McMoRan and Helix.","At 16:40 hours on 2 August 2022, a Helix Energy Solutions (Helix) Roughneck sustained serious injuries to his left hand during well abandonment operations on the Helix Q4000 semisubmersible vessel under contract to Freeport-McMoRan Oil & Gas LLC (McMoRan) at the surface location in Garden Banks (GB) Block 161.",Serious Incident,,Serious Incident,20,D,5,,,,,,,,,
CP-872326FC4E,,Serious Incident,2022-08-06,09:30,2022-08-08,SM,99,A,,Drilling,LIFTING,Loss Event,Health & Safety,Injury Minor,,SYN-005169,Facility Engineer,SYN-48ff2a,HSE Advisor,SYN-5f8f3e,Operations Superintendent,2022-08-14,SYN-16a775,Operations Superintendent,2022-08-22,"On August 6, 2022 at approximately 0930 hours, a contract employee (CE) injured his
index finger on his left hand while attempting to position a cutting box on the deck
during lifting operations.
The CE was attempting to position a cutting box that was being lowered by the platform
crane. The cutting box was to be used while cleaning the sump. As the rigger on the
boat connected the shackles to the cutting box, the crane operator began lifting the
fast line. As the fast came up, the sling caught the lid on the cutting box and lifted
the lid several inches. As the crane operator lowered the cutting box to set on the
platform, the CE placed his hands between the lid and the box in an attempt to control
the cutting box prior to coming in contact with the deck. When the tension was
released from the sling, the lid dropped smashing the CE’s left index finger. The CE
was wearing gloves at the time of the incident.
The CE was transported to a medical facility for additional treatment where it was
determined he fractured the finger.
The BSEE Lafayette District conducted an onsite investigation August 10, 2022.",The CE was transported to a medical facility for additional treatment where it was determined he fractured the finger.,Serious Incident,,Serious Incident,20,D,5,,,,,,,,,
CP-F883ABFF3A,,Incident,2022-08-14,19:30,2022-08-17,SM,149,,ROWAN JP BUSSELL,Production Operations,LIFTING DEVICE,Loss Event,Environment & Reputation,Loss of Containment,,SYN-129055,Marine Coordinator,SYN-79f7f1,HSE Advisor,SYN-2afb63,Production Foreman,2022-08-23,SYN-60f4ec,Maintenance Supervisor,2022-09-20,"On August 14, 2022, at approximately 1930 hours, on the Mariner Energy, Inc.'s Lease
OCS-G 02592, South Marsh Island Block 149 Platform D, utilizing the Rowan JP Bussell
Rig, approximately 33 barrels (BBLs) of Zinc Bromide (ZnBr2) and approximately 37
BBLs of a weighted blend of Calcium Bromide (CaBr2) and Calcium Chloride (CaCl2) was
released into the Gulf of Mexico (GOM), resulting from an upset condition during
completion operations for Well D-1 (OCS-G 16325). At the time of the pollution
incident, the rig crew was pulling drill pipe hanging from the well's storm packer.
As the drill pipe was pulled, the wellbore volume was displaced with weighted
completion fluid. While tripping drill pipe out of the hole the mud engineer reported
to the Driller and Offshore Installation Manager (OIM) a loss of completion fluid
from tank #4. Neither the Driller nor the OIM observed fluid loss since there was no
increase in fluids entering the trip tank. Regardless, they decided to divert flow to
tanks #1, #2, and #6 (work tank). Subsequent to diverting the flow, a continual loss
of fluid occurred from tank #6 while the trip tank's level remained normal (no gain
or loss). Upon investigation, it was discovered that the lost fluid was being
delivered to the pre-load tank #39 (25 BBL capacity) and overboard into the GOM
through an open dump valve #4. The pre-load tank was believed to be isolated from the
completion fluids, but the tank's closed suction line's butterfly valve (new valve)
#2 leaked. This allowed the completion fluids to enter the pre-load tank. From the
pre-load tank, the 25 BBLs of fluid was recovered and the approximately 70 BBLs of
ZnBr2, CaBr2, and CaCl2 completion fluid blend was lost overboard.",Reported as a pollution release.,Incident,,Incident,8,D,2,,,C,,,,,,
CP-2674FB26E1,,Serious Incident,2022-08-23,14:00,2022-08-24,EI,24,,,Maintenance,LIFTING,Loss Event,,,Combustion,SYN-99fc76,HSE Advisor,SYN-0f8fb2,Maintenance Supervisor,SYN-0c67bb,Maintenance Supervisor,2022-08-29,SYN-1c2f75,Facility Engineer,2022-10-11,"On August 23, 2022 at approximately 1400 hours an employee received burns to his
face and neck while attempting to ignite a Heater Treater.
Operators observed the NBK-2000 Heater Treater surging. The operators shut in the
Heater Treater and completed a Job Safety Analysis (JSA) as well as paperwork for the
lock out tag out procedure (LOTO).
The operators hooked the crane’s auxiliary line to the flame arrestor utilizing a
nylon strap so it could be removed to gain access to the ignitor components. The LOTO
procedure was in place and the manual fuel valve was locked closed. The Piping
Isolation Procedure specifies double block and bleed but during this operation single
block and bleed was utilized.
One of the operators placed a ladder in front of the area where the flame arrestor was
located to assess the problem and discovered the ignitor wire was disconnected. The
wire was reconnected and the ignitor was tested with the main fuel valve closed to
verify it was attempting to ignite. The flame arrestor was bolted back in place and
the ignitor was tested again with the fuel valve in the closed position.
The operator located on the ladder climbed down and preceded to the ignitor box. The
second operator climbed the ladder to verify the pilot was lit. The second operator
attempted to verify the pilot was lit through a one inch sight glass but could not get
a visual. He removed three of the four nuts off of the 8 ½ inch sight glass cover
plate to see inside of the treater.
It is unclear if the second operator communicated that the 8 1/2 inch cover had been
removed from the treater. The second operator placed his face in front of the opening
as the gas accumulated in the treater and another attempt was being made to ignite the
pilot. As the gas lit, fire came through the opening coming in contact with the second
operators face and neck.
The injured operator was transported to a medical facility to receive additional
treatment. He was diagnosed with 1st and 2nd degree burns.",He was diagnosed with 1st and 2nd degree burns.,Serious Incident,,Serious Incident,12,D,3,,,,,,,,,
CP-754AE9C18C,,Serious Incident,2022-08-24,05:10,2022-08-26,MC,736,A(Thunder Hawk),,Marine & Logistics,LIFTING DEVICE,Loss Event,,,Combustion,SYN-186886,HSE Advisor,SYN-b20683,HSE Advisor,SYN-2d148c,Operations Superintendent,2022-09-01,SYN-8fde5d,Production Foreman,2022-10-03,"On 24 August 2022 at 0510 a fire occurred at Murphy Exploration MC 736-A OCS-G
27306 (Thunder Hawk) Platform. A Pressurized Welding Enclosure (PWE) was constructed
with the approximate dimensions: 32’ (L) x 6’ (W) X 8’ (H) to accommodate the removal
of bumper pads and the repair of deck plates.
During the Night Contractor’s shift, a fire started at approximately 0510 hours
during hot work operations inside the PWE #39 while using a torch to wash off the
welds. During the weld washing, slag rolled under the Velcro portion of the PWE wall,
heated up to the point of smoldering and ignited. The inside Firewatch was not aware
of the fire on the outside of the PWE. SafeZone (Tech #1) was watching the control
panel for PWE #39 when he noticed a fire about 2’ high at approximately 0510 hours on
the outside wall. Tech #1 then hit the Emergency Shutdown (ESD) to shut down the PWE
and all welding.
According to witness statements, Tech #1’s first instinct was to stomp the fire out.
Once he noticed the fire was out, he grabbed a H2O fire extinguisher and soaked the
fire retardant blanket and the panel wall. Simutaneously; SafeZone (Tech #2), the
designated Firewatch, was making his way around to the location of the fire and
witnessed Tech #1 putting it out. Tech #2 said he ran to find another H2O fire
extinguisher and when he returned Tech #1 had already extinguished the fire.
The SafeZone Techs failed to have fire protection equipment readily available in the
work area for hazardous conditions arising due to hotwork. Murphy’s Safe Welding and
Burning Plan states that there should be a spare fire extinguisher in the area of the
hot work in an event that the primary extinguisher should fail. In this case, there
was no additional fire protection equipment available to use as secondary.
Firewatchers failed to use the appropriate 30# ABC fire extinguisher that is
designated for hot work operations; instead, a H2O extinguisher was used.
During the course of the investigation, miscommunication between Murphy Exploration
and Noble Energy was identified as a contributing factor. Firewatch shall have a
portable radio to communicate in the event of an emergency. Firewatch shall know the
location of platform alarms (Fire, ESD and abandon platform) for the safety of all
personnel and the protection of equipment and environment. The Firewatch shall stay
alert and perform no other duties during hot work activity. SafeZone Techs,
Performance Energy Services (PES) Supervisor and the Noble Inspector failed to notify
the Control Room Operators immediately. This incident was found to be part of an
unsafe situation that posed an immediate danger to all personnel and the overall
safety of the facility.","Reported as a fire. Estimated property damage $25,000.",Serious Incident,,Serious Incident,12,D,3,,,,,,,B,,
CP-C733A576BA,,,2022-09-02,16:30,2022-09-05,AC,856,STENA TAY,,Construction,,Loss Event,Health & Safety,,,SYN-d0df5c,Marine Coordinator,SYN-1e6d71,HSE Advisor,SYN-4c303a,Operations Superintendent,2022-09-11,SYN-348471,Operations Superintendent,2022-10-29,"The tool pusher confirmed he was in position and clear of the lay-down area. The
logging unit was lifted over the port side of the rig and over the shaker room. This
was a blind lift. The tag lines were taken by two men, and the crane operator began
to lower the load into position under the direction of the banksman (driller). The
banksman used a radio to communicate to the crane operator, because the crane
operator cound not see the lay-down area. The banksman dropped the radio as the load
swung toward him. While lowering the lift, the escape route was blocked by the
logging unit. The banksman pushed the logging unit using the handrail for support.
The banksman toppled over the handrail and fell thirteen feet and three inches to the
deck below.
The driller had completed a Banksman and Slinging course a number of years ago,
however, there are no records of completion of that course.",The incident resulted in an injury recorded without a severity code.,,,,,,,,,,,,,,,
CP-5067563F49,,,2022-09-19,00:26,2022-09-20,SM,6524,HIDALGO,[J,Well Services,LIFTING DEVICE,,,,,SYN-f97833,HSE Advisor,SYN-c47613,Maintenance Supervisor,SYN-0cf060,Marine Coordinator,2022-09-24,SYN-eaf0dc,Production Foreman,2022-12-10,"The release is attributed to a rupture of a 3/4 inch diameter piece of pipe attached
to the Glycol vessel (V-16) located on Platform Hidalgo•s Production Deck. The
glyc~l
vessel was at normal pressure of approxamately 1285 psi with normal H2S
op~rating
concentrations of approxamately 19,500 ppm. The release was initally detected by a
combustable gas detector which triggered an alarm and a simultanious ESD.",,,,,,,,,,,,,,,,
CP-58E98FEEFD,,Serious Incident,2022-09-28,11:10,2022-09-29,ST,52,A,,Maintenance,LIFTING,Loss Event,Health & Safety,Injury TLI,,SYN-137963,Facility Engineer,SYN-d4aa52,Facility Engineer,SYN-b29103,Marine Coordinator,2022-10-12,SYN-e35d28,Marine Coordinator,2022-11-19,"At approximately 1110 hours on September 28, 2022, an incident occurred at South
Timbalier Block 52 Platform A, lease number OCS-G01241. The Operator on record is
Arena Offshore, LP.
Upon completing work on the lower level of ST 52 A facility. Personnel started to
relocate equipment to the Liftboat Raimy Eymard. During the second transfer of two air
hoisting work baskets (commonly known as spiders) from the boat landing of the
platform to the deck of the liftboat, a paint crew member injured his right hand while
performing rigging operations. Personnel used the liftboat crane to lift both baskets
(side by side) simultaneously. The baskets contained 9 sections of hoses with an
estimated total weight of 706 pounds. The outreach of the platform deck above was
approximately 30 feet from where the baskets were located on the boat landing and
prevented the liftboat auxiliary load block from being centered over the baskets. The
Injured Person (IP) wrapped the tag line around the top rung of the guardrail to
attempt to control the swing of the load when lifted. As the IP was feeding slack to
the tag line during the lift, his right hand was caught between the guardrail and the
tag line causing fractures to his index, middle, and pinky fingers on his right hand.
A BSEE Inspector arrived on location to investigate the incident on October 4, 2022
after being notified of the injured person. The Inspector gathered witness statements
and took pictures of the work site. The IP’s statement was written in Spanish and had
to be translated by an interpreter on the platform during the investigation. The
interpreter wrote the translation in English, then signed and dated it. The Inspector
took pictures of the boat landing, upper deck, and air hoisting work baskets from the
Liftboat Raimy Eymard.",The incident resulted in a lost-time accident with more than 3 days lost. Reported as a crane incident. The facility was evacuated.,Serious Incident,,Serious Incident,,,,,,,,,,,,
CP-688D792711,,Serious Incident,2022-10-12,17:00,2022-10-13,GC,338,A-Front Runner,,Maintenance,LIFTING,Loss Event,Health & Safety,,,,,SYN-bb4134,Marine Coordinator,,,,,,,"At approximately 1700 hours on October 12, 2022, a crane incident occurred at Green
Canyon Block 338 Platform A, Lease Number OCS-G21790. The Operator on record is Murphy
Exploration & Production Company – USA.
The drilling contract crew experienced a sheave failure during a critical lift when
moving Mud Tank #1 module from the vessel using the port side crane main hoist. The
module, weighing approximately 92.5k pounds, (approximately 96 percent of the cranes
capacity) was being lifted from the boat into position on the facility for mounting on
top of the north mud pump module. On the third attempt to align the guides of the load
to set it in place, the main line tip Nylatron idler sheave shattered resulting in
several dropped objects. Two IPs attending the tag lines were struck by pieces of the
sheave. One IP was struck on the right forearm and the right boot tip. The other IP
was struck on the left middle and ring fingers. Both IP’s received first aid treatment
and released back to full duty status.
BSEE Inspectors arrived on location to investigate after being notified of the crane
incident and IP’s (injured persons) on September 17th, 2019. Inspectors interviewed
the IP’s, Crane Operator, witnesses, gathered statements and took pictures of the
crane and worksite. Upon arrival, the Nautilus Model 1100L-140 Marine Crane boom was
in the boom rest and out-of-service due to the incident. The fragmented pieces of the
sheave that were found were reassembled on the main deck near the quarters. The
outside of the sheave was grey from weathering and score marks were found inside the
bore of the sheave indicating the hub slid off the bearing hub prior to or during
failure. The sheave bearing was still installed on the bearing shaft and the retainer
ring was disconnected from the bearing, resting on the bearing spacer. The loads seen
by the sheave when realigning the mud tank are unknown due to the friction involved
with no load indicator recording on the crane.
The lessee could not provide documentation indicating the roller bearing had been
replaced over a span of 17 years. According to the manufacturer, the roller bearing
had a usable life depending on the weight of the resulting load and RPM.
The roller bearing had exterior corrosion and main lubrication seals were not present
aiding in the accumulation of grease making visual inspection of the bearing
difficult. The outer race had surface corrosion where water was able to reside from
the accumulation of grease.
The work site was visited and the IP’s showed inspectors their locations on the deck
when the incident occurred. Marks were found on the deck where the larger pieces of
the sheave possibly landed. The weight of the load was found listed on the side of the
mud tank #1 as 89,896 lbs. The rigging was found in good condition and certification
tags confirmed rated weights were adequate for the lift.",The incident resulted in an injury recorded as Other Injury. Reported as a crane incident.,Serious Incident,,Serious Incident,20,D,5,,,,,,,,,
