Incident Number,bsee_activity,bsee_type_checkboxes,bsee_operation,bsee_cause_checkboxes,bsee_water_depth,bsee_property_damaged,bsee_possible_ocs_violations,bsee_violations_narrative,bsee_onsite_investigation_date,bsee_accident_classification,bsee_panel_formed,bsee_operator,bsee_form_revision,bsee_extract_status,bsee_source_url,bsee_sha256
WR-678-20080920-0100,X EXPLORATION(POE) (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY X POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE California DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION X DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER SEAS,DEVELOPMENT/PRODUCTION EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED X LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,7005 FT.,"LBSR bonnet door body and seals. The bodies and seals sustained washout. Upper Dual Compact Ram body. $250,000",YES,The cause of this event was found to Complince (E-100) for pollution will,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,"Union Oil Company of REPRESENTATIVE: Campise, Debra TELEPHONE: (832) 854-2617 CONTRACTOR: Transocean Offshore REPRESENTATIVE: Galati, Mike TELEPHONE: (713) 232-8447",B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/inspection-and-enforcement/080920-pdf.pdf,beca213ba812ff27b39326436fd426905f7ad94c84d74b562c4c6d2f496f0b1a
MC-941-20080927-2130,X EXPLORATION(POE) DEVELOPMENT/PRODUCTION (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY X POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER Manager) SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION X DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,X EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED X LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,4000 FT.,"Synthetic Based Mud (SBM) Lost overboard $468,000",YES,24. SPECIFY VIOLATIONS DIRECTLY OR E-100 issued,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO / Trocquet /,ATP Oil & Gas Corporation REPRESENTATIVE: Betsy Cleland TELEPHONE: (713) 403-7017 CONTRACTOR: . REPRESENTATIVE: Steve Wascom (Rig TELEPHONE: (713) 329-1168,B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/inspection-and-enforcement/080927-pdf.pdf,3cd0f826d4328b9d7e5678fe83e4417db660317b0ad2473f5d204988d7acbf8a
WC-661-20081002-1350,EXPLORATION(POE) X DEVELOPMENT/PRODUCTION (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) X LTA (>3 days 1 RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE CRANE X OTHER LIFTING DEVICEAir Hoist (Tugger) L DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. X OTHER Construction Operations,EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,484 FT.,None,YES,G110-C Unsafe air hoist (tugger) operations. Construction personnel failed to secure the tugger to the deck before,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,"Tarpon Operating & Development, REPRESENTATIVE: Rachal, Erin TELEPHONE: (281) 578-3388 CONTRACTOR: Pioneer Contract Services REPRESENTATIVE: Steve Sparks TELEPHONE: (337) 233-3089",B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/inspection-and-enforcement/081002-pdf.pdf,a235c230b997410bbe7c81ba986c68b696c74a6248ce72cc8afa4661e4a98d28
EW-871-20081013-1620,X EXPLORATION(POE) DEVELOPMENT/PRODUCTION (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE X CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION X DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,X EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,868 FT.,"Crane boom, smokers building, and work Failed crane boom, builings damaged from shed. debris. $340,000",NO Regional Office.,24. SPECIFY VIOLATIONS DIRECTLY OR,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,"Walter Oil & Gas Corporation REPRESENTATIVE: Rodriguez, Paul TELEPHONE: (713) 659-1222 CONTRACTOR: Diamond Offshore REPRESENTATIVE: Wills, Donald TELEPHONE: (985) 839-4185",B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/inspection-and-enforcement/081013-pdf.pdf,457a0a41b4044c1c610ed712ad05260c7f9c1470efe0a64c83979fb07431d404
ST-35-20081015-1400,EXPLORATION(POE) X (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS X CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,DEVELOPMENT/PRODUCTION X EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,52 FT.,"There was a slight bend in the heel boom The heel boom section needed to be section. replaced. $15,000",NO Houma District has no,24. SPECIFY VIOLATIONS DIRECTLY OR None.,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,"Chevron U.S.A. Inc. REPRESENTATIVE: George, Noel TELEPHONE: (985) 773-6542 CONTRACTOR: REPRESENTATIVE: TELEPHONE:",B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/inspection-and-enforcement/081015-pdf.pdf,681228352ab288d060fd76b3c8c2d05191ec49462166ee646adf0b043efe32c2
SM-130-20081023-1730,EXPLORATION(POE) X (DOCD/POD),"HISTORIC INJURY REQUIRED EVACUATION 1 X LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE Technology GOM, In DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE X OTHER Injury to person REPRESENTATIVE/SUPERVISOR",X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. X OTHER Pigging Operation,DEVELOPMENT/PRODUCTION X EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED X LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,215 FT.,None None,YES to the MMS Region Office of,"Incident of Noncompliance (INC) G-110 is issued ""After the Fact"" to document that Energy Resource Technology GOM (ERT) failed to protect health, safety, and the environment by not performing operations in a safe and workmanlike manner as follows: ERT failed to ensure personnel follow all written procedures including the JSA and SOP recommendations. Specifically, the LO failed to ensure that the pig launcher sustained a zero pressure prior to loading the pig into the launcher. In addition, the LO failed to stay clear of the pig launcher while inserting the pig. ERT is advised to submit a letter of explanation to the Lafayette District Manager addressing the above INC, and nature.",,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO /,Energy Resource REPRESENTATIVE: Wendy Braddock TELEPHONE: (281) 618-0551 CONTRACTOR: REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/inspection-and-enforcement/081023-pdf.pdf,c8572d51524158d774bbade32a472ece1c4c71380e9f01d364d2e744c3ab04bb
VR-245-20081031-1430,EXPLORATION(POE) X (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER X SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. Justin INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE X OTHER Wellhead Leak REPRESENTATIVE/SUPERVISOR,X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,DEVELOPMENT/PRODUCTION X EQUIPMENT FAILURE HUMAN ERROR X EXTERNAL DAMAGE SLIP/TRIP/FALL X WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,132 FT.,"Property damaged related to the repair of the loss of well control for Well G-4 only: Studs, nuts, ring gaskets. $25,000 u-bolts that failed/broke during the Studs were stretched beyond their elastic limit. Ring gaskets may have been cut due to escaping gas/debris, and some nuts may have also been damaged.",NO,24. SPECIFY VIOLATIONS DIRECTLY OR N/A,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO /,"Chevron U.S.A. Inc. REPRESENTATIVE: Matthews, TELEPHONE: (337) 989-3435 CONTRACTOR: REPRESENTATIVE: TELEPHONE:",B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/inspection-and-enforcement/081031-pdf.pdf,a67d8a4d9379159c4f6959c347959a0e3187adfb0567c7b32efe009f9f7b28e7
WR-678-20081101-1500,X EXPLORATION(POE) (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY X POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE COLLISION HISTORIC >$25K STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE California DAMAGED/DISABLED SAFETY SYS. Debra INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER Herb SHUTDOWN FROM GAS RELEASE X OTHER Compromised csg/shallow leak REPRESENTATIVE/SUPERVISOR,PRODUCTION X DRILLING WORKOVER 26.3047 COMPLETION -91.086 HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER SEAS,DEVELOPMENT/PRODUCTION X EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED X LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,7005 FT.,"NATURE Total loss of well. Casing $126,000,000",NO,24. SPECIFY VIOLATIONS DIRECTLY OR,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,"Union Oil Company of REPRESENTATIVE: Campise, TELEPHONE: (832) 854-2617 CONTRACTOR: Transocean Offshore REPRESENTATIVE: Huffenberger, TELEPHONE: (713) 232-8447",B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/inspection-and-enforcement/081101-pdf.pdf,072786efff36857656774ddc1cdfb5d6569d0ac80360fba1c8552aab41e989e4
EW-305-20081102-1105,EXPLORATION(POE) X (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) X Other Injury 1 First Aid FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE Corporation DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,DEVELOPMENT/PRODUCTION EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID X OTHER Open Hole,270 FT.,None,YES,"INC G-112 is issued to document that Stone Energy Corporation failed to provide for the safety of all personnel, and that other safety equipment, such as open hole barricade equipment, was not provided to prevent an employee from injury due to falling into an unattended and",,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,Stone Energy REPRESENTATIVE: Almon Loos TELEPHONE: (713) 422-4986 CONTRACTOR: ROWAN DRILLING REPRESENTATIVE: Dean Calcote TELEPHONE: (337) 462-3774,B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/inspection-and-enforcement/081102-pdf.pdf,1aaae64abe5003c0c3bd4225ae0e32676cd52637eb0683ee71dea52235281730
EW-305-20081103-1415,X EXPLORATION(POE) DEVELOPMENT/PRODUCTION (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION 1 X LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION X DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,270 FT.,None,NO,24. SPECIFY VIOLATIONS DIRECTLY OR,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,"Stone Energy Corporation REPRESENTATIVE: LeBouef, Corbett TELEPHONE: (337) 521-0213 CONTRACTOR: ROWAN DRILLING REPRESENTATIVE: Dean Calcote TELEPHONE: (337) 462-3774",B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/inspection-and-enforcement/081103-pdf.pdf,06592d8efc57fa02f8d9255805cee1d810de6255e53c87a75d37d6df659e20a8
GI-47-20081113-0100,EXPLORATION(POE) X (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY X POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE Inc. DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION DRILLING WORKOVER 28.95 COMPLETION -90.017 HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. X OTHER P&A and Salvage job.,DEVELOPMENT/PRODUCTION EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID X OTHER Mechanical Failure,91 FT.,None,NO,24. SPECIFY VIOLATIONS DIRECTLY OR No INC issued.,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO /,"Wild Well Control, REPRESENTATIVE: Savoy, Joe TELEPHONE: (281) 784-4700 CONTRACTOR: REPRESENTATIVE: TELEPHONE:",B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/regions/081113-pdf.pdf,c378753f2b77e7e0b7642d10493d1a4296aabe12811344bbc02b1bb3875dd8ff
EI-98-20081119-0300,EXPLORATION(POE) X DEVELOPMENT/PRODUCTION (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION 1 X LTA (1-3 days) X LTA (>3 days 1 RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION X DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. X OTHER Wireline operations,X EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,28 FT.,No physical property damage,YES,"INC G-110 is issued ""After the Fact"" to document that Tana Exploration Company, LLC failed to protect health, safety, and the environment by not performing operations in a safe and workmanlike manner as follows: Tana Exploration Company, LLC failed to ensure that wireline operations were conducted in a safe manner to protect the equipment and employees by preventing the wireline equipment from colliding on multiple occasions with the rig's top drive. These collisions could have resulted in undue stress to the wireline equipment, and eventually a severe injury. At least one employee reported this unsafe condition to a company representative. The concerned employee suggested installing an additional pup joint to extend the length of the lubricator, thus making the job safer. However, since an appropriate onsite pup joint was not available for installation, the employee's concerns were dismissed and operations were continued. Tana Exploration Company, LLC is advised to submit a letter of explanation addressing the aforementioned INC, and its plans for eliminating future incidents of this nature to the MMS Lafayette",,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,"Tana Exploration Company LLC REPRESENTATIVE: Groth, Christine TELEPHONE: (281) 492-3247 CONTRACTOR: BAKER ATLAS WIRELINE REPRESENTATIVE: Wilson, Anthony TELEPHONE: (337) 501-2970",B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/inspection-and-enforcement/081119-pdf.pdf,76cc71a25cd3951ec3068fd92db06377295b450e8975dc6063fdc0a993ad56c4
EI-327-20081123-0335,EXPLORATION(POE) X (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION 1 X LTA (1-3 days) LTA (>3 days X RW/JT (1-3 days) 1 RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE L.P. DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION X DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,DEVELOPMENT/PRODUCTION X EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,262 FT.,No property damage,NO,No violations were observed during review process.,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,"El Paso E&P Company, REPRESENTATIVE: Ashworth, Lisa TELEPHONE: (713) 420-7590 CONTRACTOR: REPRESENTATIVE: Richard, JR TELEPHONE: (337) 233-5185",B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/inspection-and-enforcement/081123-pdf.pdf,2275dd99ad93e82ce84496ad0e9b55eb9eca977145698b14ca52f05240151057
WD-40-20081130-0800,EXPLORATION(POE) X (DOCD/POD),"HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION X FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. X INCIDENT >$25K $200,000 H2S/15MIN./20PPM Services REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR",X PRODUCTION DRILLING WORKOVER 29.069291 COMPLETION -89.805534 HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,DEVELOPMENT/PRODUCTION EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,90 FT.,"NATURE N2 Unit Fire $200,000",YES,"The following INC's were issued during the December 9, 2008, accident investigation: G-111: After investigation the N2 Unit fire, it was determined that the diesel tank's hot refueling process was unsafe. The Unit was left unattended for a short period of time, but long enough to enable an uncontrollable fire. The resulting fire and subsequent abandonment of the facility at WD 40B resulted from: 1) The 400 HP engine running at 1800 RPMs use to run the pumps that fed the refueling hose, 2) The hose was not secured to prevent movement. 3) Hot refueling of the N2 Unit was unsafe and the Unit was in an enclosed area. 4) Attendant did not stay with the N2 Unit during the entire refueling process. G-110: No JSA written to address the hot refueling process. G-110: Operator did not have fire water system on the facility, therefore hot refueling should have been prohibited. The engine was a 400 HP running approximately at 1800 RPM's (extremely hot unit). F-103: The batteries inside the box to protect the batteries.",,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO Clemens,"Apache Corporation REPRESENTATIVE: Garber, John TELEPHONE: (337) 354-8126 CONTRACTOR: Wood Group Production REPRESENTATIVE: Brian Armstrong TELEPHONE: (337) 735-6082",B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/forms/081130-pdf.pdf,eeffe04ec294bb8649d1429d12c22d8043158e84cd0045cb2503e6e31b273680
WC-504-20081201-1000,EXPLORATION(POE) X (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION X FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE L.L.C. DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL X PIPELINE SEGMENT NO. 11640 X OTHER Construction repairs Hurricane Ike,DEVELOPMENT/PRODUCTION EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,147 FT.,"14-feet section of 8-inch pipeline Deck penetration ring and hole in incoming pipeline. $38,639",YES,G-303: The Lessee failed to protect work was being conducted.,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,"Palm Energy Offshore, REPRESENTATIVE: Lee Metcalf TELEPHONE: (337) 366-9918 CONTRACTOR: Baker Energy, Inc. REPRESENTATIVE: Pat Simon TELEPHONE: (337) 210-9532",B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/inspection-and-enforcement/081201-pdf.pdf,1d9c9f7de82e4f97c665ce1592e11987922e630a98f885b9ce81a68154a0491c
SM-149-20081203-1930,EXPLORATION(POE) X (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY X POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K OF MEXICO REGION INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER Thomas SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION DRILLING WORKOVER 28.2158 X COMPLETION -92.1244778 HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,DEVELOPMENT/PRODUCTION X EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED X LEAK UPSET H2O TREATING X OVERBOARD DRILLING FLUID OTHER,234 FT.,No physical property damage,NO,No violations observed during process.,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO Johnson,"Mariner Energy, Inc. REPRESENTATIVE: Dinger, Blaine TELEPHONE: (713) 954-5588 CONTRACTOR: Rowan Drilling REPRESENTATIVE: Fletcher, TELEPHONE: (713) 422-4807",B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/inspection-and-enforcement/081203-pdf.pdf,0667672ed10d3b9b6953fc6a9efebf8c29f8b532df7835e150b1ac7942be7aa2
